epoch,loss,class_entropy,diversity,hypo_loss,class_acc,hs_word_loss,class_loss,perplexity,adverse_loss,vae_output_metric
0,1.6179,0.5008,4.1532,1.3008,0.3334,1.6051,2.3948,2.5718,0.4207,0.0128
epoch,loss,class_entropy,diversity,hypo_loss,class_acc,hs_word_loss,class_loss,perplexity,adverse_loss,vae_output_metric
0,1.6132,0.4914,4.1569,1.2753,0.3271,1.6001,2.4677,2.5145,0.4250,0.0131
1,1.0886,0.5213,4.1575,1.1118,0.3353,1.0735,2.3203,2.2406,0.6044,0.0151
2,0.9202,0.5232,4.1582,1.0008,0.3438,0.9041,2.3099,2.0726,0.6338,0.0161
3,0.8318,0.5265,4.1589,0.9617,0.3288,0.8147,2.3452,2.0132,0.6321,0.0171
4,0.7765,0.5267,4.1589,0.9575,0.3400,0.7586,2.3440,2.0124,0.6657,0.0180
5,0.7372,0.5299,4.1589,0.9140,0.3312,0.7186,2.3359,1.9461,0.6698,0.0186
6,0.7077,0.5203,4.1582,0.8878,0.3360,0.6885,2.3663,1.9079,0.7115,0.0191
7,0.6847,0.5255,4.1589,0.8678,0.3413,0.6651,2.3427,1.8832,0.7270,0.0196
8,0.6660,0.5227,4.1589,0.8637,0.3318,0.6459,2.3522,1.8792,0.6940,0.0201
9,0.6496,0.5201,4.1582,0.8501,0.3360,0.6292,2.3974,1.8591,0.7024,0.0204
10,0.6362,0.5175,4.1589,0.8485,0.3280,0.6155,2.4294,1.8544,0.7375,0.0207
11,0.6241,0.5262,4.1589,0.8068,0.3333,0.6032,2.3633,1.8008,0.7464,0.0210
12,0.6137,0.5195,4.1589,0.8170,0.3333,0.5925,2.3981,1.8136,0.6947,0.0212
13,0.6045,0.5306,4.1589,0.8035,0.3322,0.5830,2.3449,1.7949,0.7049,0.0215
14,0.5961,0.5172,4.1589,0.8076,0.3340,0.5744,2.3835,1.8014,0.7850,0.0217
15,0.5885,0.5214,4.1589,0.7956,0.3355,0.5666,2.3367,1.7821,0.7088,0.0219
16,0.5818,0.5150,4.1589,0.7783,0.3223,0.5598,2.4101,1.7612,0.7646,0.0221
17,0.5751,0.5195,4.1589,0.7964,0.3336,0.5529,2.4113,1.7862,0.7468,0.0223
18,0.5693,0.5185,4.1589,0.7949,0.3285,0.5469,2.4138,1.7844,0.7435,0.0224
19,0.5640,0.5164,4.1589,0.7684,0.3321,0.5414,2.4063,1.7511,0.7223,0.0226
