epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,1.8437,0.4262,0.3446,1.1213,0.5386,1.4800,2.2090,0.2909
1,1.3264,0.4568,4.1431,inf,0.4811,1.7507,inf,0.8227
2,0.9770,0.4878,4.1562,inf,0.4910,1.6505,inf,1.0407
3,0.7119,0.5117,4.1589,0.9470,0.4936,1.5940,1.9891,1.1530
4,0.5608,0.5241,4.1575,inf,0.5042,1.5269,inf,1.1789
5,0.4505,0.5245,4.1573,0.7447,0.4931,1.5805,1.7116,1.2140
6,0.3724,0.5271,4.1582,0.6737,0.4946,1.5446,1.6245,1.2284
7,0.3145,0.5280,4.1575,0.6219,0.5009,1.5332,1.5627,1.2752
8,0.2707,0.5311,4.1589,0.5719,0.4957,1.5399,1.5072,1.2310
9,0.2368,0.5448,4.1589,0.5343,0.4922,1.5283,1.4660,1.1867
10,0.2100,0.5411,4.1589,inf,0.4859,1.5797,inf,1.1718
11,0.1885,0.5460,4.1589,0.4751,0.4843,1.5476,1.4039,1.2122
12,0.1711,0.5503,4.1575,0.4483,0.5034,1.4710,1.3770,1.1628
13,0.1565,0.5433,4.1575,0.4268,0.4925,1.5243,1.3550,1.1224
14,0.1446,0.5386,4.1575,0.4069,0.4985,1.5042,1.3360,1.1345
15,0.1345,0.5455,4.1575,0.3928,0.4997,1.4951,1.3223,1.0953
16,0.1257,0.5524,4.1575,0.3823,0.4976,1.4896,1.3120,1.0939
17,0.1183,0.5414,4.1546,0.3677,0.5044,1.5093,1.2985,1.0776
18,0.1119,0.5527,4.1582,0.3589,0.4940,1.4965,1.2904,1.0344
19,0.1064,0.5487,4.1589,0.3535,0.4904,1.5126,1.2849,1.0342
